Word,Pseudoword
PRISON,prenon
PALACE,pasave
MOTOR,morar
SILVER,sidger
CANCER,carger
VICTIM,virtip
BISHOP,bistom
EATING,aering
WEAPON,weemon
ONION,unoun
TUNNEL,lennel
ELBOW,etpow
LOBBY,fabby
RABBIT,pobbit
DOCTOR,pictor
LEADER,tearer
HUNTER,hecher
TOWER,tiper
URBAN,urlon
OUTFIT,outcot
BOTTLE,bobble
BORDER,bowmer
ARTIST,alkits
COTTON,collon
AUTHOR,awbror
CAFE,ERR_Sequence cafe was not found in lexicon orthographi
HERO,hesa
OBJECT,objake
ADULT,anumb
ORANGE,orychs
DINNER,panner
BASKET,badhet
SIGNAL,sildal
CIRCLE,cibsle
FOREST,fatest
VESSEL,jussel
LEVER,tiver
BUFFER,bemper
TIRE,tist
RECTOR,retlor
CLOVER,scoser
DUSTY,rosty
ECHO,elka
INFANT,infone
GARDEN,ganpen
BARREL,carrul
BELLY,cully
CIRCLE,cibsle
COPPER,cosser
CANCER,banfer
BELLY,cully
CHAPEL,trasel
SAVAGE,sudage
RIFLE,siste
ESTATE,estine
PUPIL,mupol
METAL,sotal
CHAPEL,trasel
ANGLE,ardle
LEMON,teson
BUFFER,belter
OWNER,uffer
CIGAR,cifor
PIANO,reino
REGION,rebean
NATIVE,natact
TIRE,tist
ESSAY,empay
WINTER,ganter
ANCHOR,anthar
BABY,cany
GOSPEL,goldel
DIET,piel
JACKET,vicket
CARPET,canmet
OBJECT,objake
COFFEE,coctee
ITEM,ileg
SHOWER,shamer
MOVIE,sevie
COUSIN,coakin
NOVEL,nirel
WALNUT,walyat
POCKET,sicket
PASTOR,pappor
TOKEN,lozen
SODIUM,roniup
MARGIN,manfin
CHINA,trisa
RABBIT,pobbit
STATUE,stumue
AUTUMN,awtusc
CELLAR,cillor
PALACE,pasale
ARROW,andow
BABY,cagy
PENCIL,pengyl
SUGAR,sacar
STABLE,traple
DAMAGE,dowage
