Word,Pseudoword
prison,prenon
palace,pasave
motor,morar
silver,sidger
cancer,carger
victim,virtip
bishop,bistom
eating,aering
weapon,weemon
onion,unoun
tunnel,lennel
elbow,etpow
lobby,fabby
rabbit,pobbit
doctor,pictor
leader,tearer
hunter,hecher
tower,tiper
urban,urlon
outfit,outcot
bottle,bobble
border,bowmer
artist,alkits
cotton,collon
author,awbror
cafe,cefai
hero,hesa
object,objake
adult,anumb
orange,orychs
dinner,panner
basket,badhet
signal,sildal
circle,cibsle
forest,fatest
vessel,jussel
lever,tiver
buffer,bemper
tire,tist
rector,retlor
clover,scoser
dusty,rosty
echo,elka
infant,infone
garden,ganpen
barrel,carrul
belly,cully
circle,cibsle
copper,cosser
cancer,banfer
belly,cully
chapel,trasel
savage,sudage
rifle,siste
estate,estine
pupil,mupol
metal,sotal
chapel,trasel
angle,ardle
lemon,teson
buffer,belter
owner,uffer
cigar,cifor
piano,reino
region,rebean
native,natact
tire,tist
essay,empay
winter,ganter
anchor,anthar
baby,cany
gospel,goldel
diet,piel
jacket,vicket
carpet,canmet
object,objake
coffee,coctee
item,ileg
shower,shamer
movie,sevie
cousin,coakin
novel,nirel
walnut,walyat
pocket,sicket
pastor,pappor
token,lozen
sodium,roniup
margin,manfin
china,trisa
rabbit,pobbit
statue,stumue
autumn,awtusc
cellar,cillor
palace,pasale
arrow,andow
baby,cagy
pencil,pengyl
sugar,sacar
stable,traple
damage,dowage
